03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseTransformFromReader: starting, reader.pos=0, reader.len=20
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseTransformFromReader: fieldNum=1, wireType=5, pos=1
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseTransformFromReader: a=0.07999999821186066
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseTransformFromReader: fieldNum=4, wireType=5, pos=6
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseTransformFromReader: d=0.07999999821186066
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseTransformFromReader: fieldNum=5, wireType=5, pos=11
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseTransformFromReader: tx=379
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseTransformFromReader: fieldNum=6, wireType=5, pos=16
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseTransformFromReader: ty=1548.1199951171875
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseTransformFromReader: completed, transform={"a":0.07999999821186066,"b":0,"c":0,"d":0.07999999821186066,"tx":379,"ty":1548.1199951171875}
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseFrameEntityFromReader: completed
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseFrameEntityFromReader: starting, reader.pos=0, reader.len=39
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseFrameEntityFromReader: fieldNum=1, wireType=5, pos=1
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseFrameEntityFromReader: alpha (FLOAT)=0.022285714745521545
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseFrameEntityFromReader: fieldNum=2, wireType=2, pos=6
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseLayoutFromReader: starting, reader.pos=0, reader.len=10
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseLayoutFromReader: fieldNum=3, wireType=5, pos=1
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseLayoutFromReader: width=400
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseLayoutFromReader: fieldNum=4, wireType=5, pos=6
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseLayoutFromReader: height=322
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseLayoutFromReader: completed, layout={"x":0,"y":0,"width":400,"height":322}
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseFrameEntityFromReader: fieldNum=3, wireType=2, pos=18
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseTransformFromReader: starting, reader.pos=0, reader.len=20
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseTransformFromReader: fieldNum=1, wireType=5, pos=1
03-13 17:26:53.101   27885-27885   A00001/org.ope...er/SVGAPlayer  org.opens...gaplayer  D     [SVGAProtoParser] parseTransformFromReader: a=0.09240400046110153
